STATE,DISTRICT,rape_avg,kidnapping_avg,assault_avg,domestic_avg,dowry_avg,trafficking_avg,other_ipc_avg,total_crime_avg,risk_label,risk_encoded
ANDHRA PRADESH,HYDERABAD,240.5,307.91666666666663,199.5,1325.625,36.04166666666667,0.0,2605.5416666666665,4715.125,High,1
ANDHRA PRADESH,KARIMNAGAR,192.125,347.375,336.70833333333337,639.3333333333333,44.25,0.0,1784.5833333333337,3344.375,High,1
ANDHRA PRADESH,KHAMMAM,240.125,272.4583333333333,220.625,554.4166666666666,16.583333333333336,0.0,2733.583333333333,4037.7916666666665,High,1
ANDHRA PRADESH,KRISHNA,188.66666666666663,124.05555555555554,521.9166666666666,579.6666666666666,12.02777777777778,0.0,1969.3333333333333,3395.6666666666665,High,1
ANDHRA PRADESH,KURNOOL,94.25,149.25,574.3333333333334,271.72222222222223,11.944444444444445,0.0,2441.638888888889,3543.1388888888887,High,1
ANDHRA PRADESH,MAHABOOBNAGAR,283.5,224.7083333333333,195.375,231.625,29.416666666666664,0.0,1612.6666666666663,2577.2916666666665,High,1
ANDHRA PRADESH,MEDAK,163.25,136.66666666666669,138.45833333333334,386.0,28.458333333333336,0.0,1213.8333333333333,2066.6666666666665,High,1
ANDHRA PRADESH,NALGONDA,202.75,274.375,297.5833333333333,316.625,30.25,0.0,2662.2916666666665,3783.875,High,1
ANDHRA PRADESH,NELLORE,130.0,257.1111111111111,419.6944444444444,338.4444444444444,10.305555555555555,0.3333333333333333,1847.5833333333333,3003.472222222222,High,1
ANDHRA PRADESH,NIZAMABAD,125.0,139.0,113.20833333333334,577.8333333333334,17.875,0.0,1345.3333333333333,2318.25,High,1
ANDHRA PRADESH,PRAKASHAM,118.16666666666669,146.91666666666666,297.02777777777777,362.25,8.388888888888888,0.0,1747.2222222222224,2679.972222222222,High,1
ANDHRA PRADESH,RAJAHMUNDRY,62.66666666666666,40.333333333333336,127.55555555555554,185.0,2.777777777777777,0.0,434.1111111111111,852.4444444444445,Low,0
ANDHRA PRADESH,RANGA REDDY,97.75,88.16666666666666,65.375,167.375,18.166666666666664,0.0,566.4583333333333,1003.2916666666666,High,1
ANDHRA PRADESH,SRIKAKULAM,105.80555555555556,63.94444444444445,266.8055555555556,292.0833333333333,4.305555555555556,0.0,1665.0833333333333,2398.027777777778,High,1
ANDHRA PRADESH,TIRUPATHI,40.333333333333336,51.0,73.0,132.55555555555557,8.444444444444445,0.0,611.5555555555555,916.8888888888888,High,1
ANDHRA PRADESH,VIJAYAWADA,126.49285714285716,159.76428571428573,325.7,807.3357142857143,10.657142857142857,0.25,1162.114285714286,2592.3142857142857,High,1
ANDHRA PRADESH,VISAKHA,89.0,56.833333333333336,173.3611111111111,173.63888888888889,6.0,0.0,789.5555555555555,1288.388888888889,Low,0
ANDHRA PRADESH,VISAKHAPATNAM,179.58333333333334,172.0,201.61111111111111,425.25,9.583333333333334,0.0,1838.305555555556,2826.333333333333,High,1
ANDHRA PRADESH,VIZIANAGARAM,107.91666666666669,47.583333333333336,337.1111111111111,316.25,7.638888888888889,0.0,1654.1666666666667,2470.6666666666665,High,1
ANDHRA PRADESH,WARANGAL,125.3125,178.25,151.22916666666666,210.6875,22.041666666666664,0.0,1512.75,2200.270833333333,High,1
ANDHRA PRADESH,WEST GODAVARI,372.8333333333333,210.77777777777771,524.1944444444445,687.5,19.944444444444443,0.0,1951.805555555556,3767.055555555555,High,1
ARUNACHAL PRADESH,ANJAW,0.25,0.9166666666666666,0.6666666666666666,0.1666666666666666,0.0,0.0,7.333333333333333,9.333333333333334,Low,0
ARUNACHAL PRADESH,CHANGLANG,15.416666666666666,20.52777777777777,1.6666666666666667,0.9722222222222224,0.0277777777777777,0.0,46.55555555555555,85.16666666666667,Low,0
ARUNACHAL PRADESH,CRIME BRANCH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0
ARUNACHAL PRADESH,DIBANG VALLEY,3.5,5.333333333333333,1.6666666666666667,0.4722222222222222,0.0,0.0,19.86111111111111,30.83333333333333,Low,0
ARUNACHAL PRADESH,EAST KAMENG,5.083333333333333,20.36111111111111,7.361111111111111,0.0833333333333333,0.0,0.0,43.25,76.13888888888889,Low,0
ARUNACHAL PRADESH,K KUMEY,2.55,3.95,0.65,0.1,0.0,0.0,13.5,20.75,Low,0
ARUNACHAL PRADESH,KAMENG WEST,2.9166666666666665,4.861111111111111,6.75,0.75,0.0,0.0,46.55555555555557,61.833333333333336,Low,0
ARUNACHAL PRADESH,KUKUNG KUMEY,9.0,2.0,2.0,0.0,0.0,0.0,13.0,26.0,Low,0
ARUNACHAL PRADESH,LOHIT,21.166666666666668,42.19444444444444,13.916666666666666,1.138888888888889,0.0,0.0,72.69444444444444,151.11111111111111,Low,0
ARUNACHAL PRADESH,LONGDING,6.0,13.0,4.0,0.0,0.0,0.0,27.5,50.5,Low,0
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,9.0,8.0,0.0,0.0,0.0,0.0,5.0,22.0,Low,0
ARUNACHAL PRADESH,PAPUM PARE,42.4375,62.708333333333336,23.354166666666664,10.958333333333332,0.25,0.0,99.4375,239.1458333333333,Low,0
ARUNACHAL PRADESH,SIANG EAST,30.33333333333333,13.138888888888893,18.916666666666668,2.0277777777777777,0.0,0.0,49.638888888888886,114.05555555555556,Low,0
ARUNACHAL PRADESH,SIANG UPPER,2.75,3.4722222222222228,2.777777777777777,0.1111111111111111,0.0,0.0,13.0,22.11111111111111,Low,0
ARUNACHAL PRADESH,SIANG WEST,18.416666666666668,13.583333333333334,14.72222222222222,4.638888888888888,0.0,0.0,65.44444444444444,116.80555555555556,Low,0
ARUNACHAL PRADESH,SUBANSIRI LOWER,7.333333333333333,5.583333333333333,6.277777777777779,1.0555555555555556,0.0,0.0,37.41666666666666,57.66666666666666,Low,0
ARUNACHAL PRADESH,SUBANSIRI UPPER,17.5,8.333333333333334,15.138888888888893,1.388888888888889,0.0,0.0,61.91666666666666,104.27777777777776,Low,0
ARUNACHAL PRADESH,TAWANG,2.4166666666666665,1.0833333333333333,3.527777777777777,0.4166666666666667,0.0,0.0,11.52777777777778,18.972222222222225,Low,0
ARUNACHAL PRADESH,TIRAP,4.166666666666667,11.916666666666666,4.0,0.0833333333333333,0.0277777777777777,0.0,38.5,58.69444444444444,Low,0
ARUNACHAL PRADESH,UPPER DIBANG VALLEY,0.0,1.75,0.05,0.0,0.0,0.0,5.1,6.9,Low,0
ASSAM,BAKSA,79.5,163.0,6.5,23.5,2.0,0.0,272.0,546.5,Low,0
ASSAM,BARPETA,366.8333333333333,704.7222222222223,497.3055555555555,778.0,16.194444444444446,0.0,3186.361111111111,5549.416666666667,High,1
ASSAM,BASKA,65.35714285714286,89.14285714285714,32.92857142857143,46.64285714285714,3.285714285714286,0.0,136.35714285714286,373.7142857142857,Low,0
ASSAM,BIEO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0
ASSAM,BONGAIGAON,138.83333333333334,186.83333333333331,11.52777777777778,123.25,5.861111111111111,0.0,654.6666666666666,1120.9722222222222,High,1
ASSAM,C I D,0.5,0.8333333333333334,0.0,0.0,0.0,0.0,17.833333333333336,19.166666666666664,Low,0
ASSAM,CACHAR,225.33333333333331,505.77777777777777,67.22222222222223,493.22222222222223,11.666666666666666,0.0,2138.055555555556,3441.2777777777774,High,1
ASSAM,CHIRANG,85.54166666666667,130.33333333333334,32.791666666666664,62.75,3.25,0.0,259.25,573.9166666666666,Low,0
ASSAM,DARRANG,276.0,363.75,421.6111111111111,334.69444444444446,6.333333333333333,0.6666666666666666,653.5555555555555,2056.611111111111,Low,0
ASSAM,DHEMAJI,151.58333333333334,188.80555555555557,70.3888888888889,94.72222222222224,1.861111111111111,1.6666666666666667,304.1666666666667,813.1944444444445,Low,0
ASSAM,DHUBRI,496.52777777777777,830.1666666666666,322.36111111111114,875.638888888889,9.611111111111112,0.0,986.3611111111112,3520.6666666666665,High,1
ASSAM,DIBRUGARH,181.25,306.6111111111111,136.0,193.8611111111111,2.472222222222222,0.0,735.6944444444445,1555.888888888889,Low,0
ASSAM,GOALPARA,245.16666666666663,303.72222222222223,121.44444444444446,284.4166666666667,5.972222222222221,0.6666666666666666,470.8333333333333,1432.2222222222224,Low,0
ASSAM,GOLAGHAT,222.41666666666663,442.52777777777777,88.55555555555554,184.08333333333331,3.6666666666666665,1.3333333333333333,633.8888888888889,1576.472222222222,Low,0
ASSAM,GUWAHATI,268.1666666666667,963.2222222222222,194.83333333333331,402.6666666666667,10.916666666666666,0.0,4152.583333333333,5992.388888888888,High,1
ASSAM,HAILAKANDI,173.08333333333334,198.91666666666663,24.194444444444443,147.63888888888889,3.0,0.0,599.8055555555555,1146.638888888889,High,1
ASSAM,HAMREN,25.5,41.5,1.0,1.5,0.0,0.0,90.5,160.0,Low,0
ASSAM,JORHAT,154.66666666666666,291.36111111111114,158.0,266.0555555555556,2.25,0.0,916.1666666666666,1788.5,Low,0
ASSAM,KAMRUP,201.83333333333331,334.4444444444444,52.5,329.72222222222223,2.4166666666666665,1.3333333333333333,762.0277777777778,1684.2777777777776,Low,0
ASSAM,KARBI ANGLONG,47.25,128.83333333333334,25.58333333333333,32.083333333333336,0.3888888888888889,3.6666666666666665,146.13888888888889,383.9444444444444,Low,0
ASSAM,KARIMGANJ,152.08333333333334,234.5,12.138888888888893,236.52777777777771,9.777777777777777,0.0,900.6666666666666,1545.6944444444446,High,1
ASSAM,KOKRAJHAR,110.25,207.7222222222222,51.5,89.5,3.611111111111111,0.3333333333333333,333.9166666666667,796.8333333333334,Low,0
ASSAM,LAKHIMPUR,187.16666666666663,329.27777777777777,68.94444444444444,267.0,2.75,0.0,1010.861111111111,1866.0,Low,0
ASSAM,MORIGAON,216.5,300.9444444444444,247.83333333333331,231.3611111111111,6.027777777777778,5.333333333333333,335.4444444444444,1343.4444444444446,Low,0
ASSAM,N C HILLS,13.75,60.19444444444445,0.7222222222222222,4.555555555555556,1.1388888888888888,0.0,56.583333333333336,136.94444444444443,Low,0
ASSAM,NAGAON,524.9166666666666,905.0,298.9166666666667,897.0555555555557,18.0,2.0,1795.5555555555557,4441.444444444444,High,1
ASSAM,NALBARI,111.83333333333331,223.7777777777778,43.36111111111112,90.25,1.861111111111111,0.0,777.4166666666666,1248.5,High,1
ASSAM,R P O,19.75,9.833333333333334,0.2083333333333333,0.9166666666666666,0.0,0.0,44.16666666666667,74.875,Low,0
ASSAM,SIBSAGAR,158.58333333333334,417.0833333333333,136.7777777777778,251.1111111111111,4.722222222222222,0.0,920.8333333333334,1889.111111111111,Low,0
ASSAM,SONITPUR,285.3333333333333,515.2777777777777,36.22222222222222,291.3611111111111,9.13888888888889,4.333333333333333,1102.611111111111,2244.277777777778,High,1
ASSAM,STF,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,Low,0
ASSAM,TINSUKIA,192.25,353.02777777777777,61.41666666666666,123.0,4.472222222222222,1.3333333333333333,1114.75,1850.25,Low,0
ASSAM,UDALGURI,81.70833333333333,161.45833333333334,45.41666666666666,64.75,5.625,0.3333333333333333,380.1666666666667,739.4583333333334,High,1
BIHAR,ANTI TERRORIST SQUAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0
BIHAR,ARARIA,138.08333333333334,220.91666666666663,8.194444444444445,21.666666666666668,14.555555555555555,0.0,1769.5,2172.9166666666665,High,1
BIHAR,ARWAL,14.583333333333334,58.11111111111111,5.444444444444444,12.75,13.02777777777778,1.0,422.7222222222222,527.6388888888889,Low,0
BIHAR,AURANGABAD,53.5,148.72222222222223,34.97222222222222,100.91666666666669,28.916666666666668,1.3333333333333333,924.8611111111112,1293.2222222222224,High,1
BIHAR,BAGAHA,50.72222222222222,166.25,35.111111111111114,41.69444444444445,9.222222222222223,0.0,1052.1944444444446,1355.1944444444446,High,1
BIHAR,BANKA,92.25,165.05555555555557,3.777777777777777,51.36111111111111,23.52777777777777,0.0,833.25,1169.2222222222222,Low,0
BIHAR,BEGUSARAI,82.0,363.0,47.19444444444444,64.33333333333333,29.416666666666668,0.0,2134.9444444444443,2720.888888888889,High,1
BIHAR,BETTIAH,111.75,324.1944444444444,5.888888888888889,104.5,30.666666666666668,0.0,2153.694444444445,2730.694444444444,High,1
BIHAR,BHABHUA,45.22222222222222,147.22222222222223,2.055555555555556,37.833333333333336,20.0,0.0,676.4444444444445,928.7777777777778,Low,0
BIHAR,BHAGALPUR,150.08333333333334,359.9166666666667,39.47222222222222,115.58333333333331,19.11111111111111,0.3333333333333333,1760.0833333333333,2444.583333333333,High,1
BIHAR,BHOJPUR,76.75,251.44444444444449,11.444444444444445,121.02777777777776,41.25,0.0,1288.9444444444443,1790.861111111111,High,1
BIHAR,BUXAR,44.5,169.52777777777777,23.027777777777786,71.36111111111111,18.80555555555556,0.0,990.9166666666666,1318.138888888889,High,1
BIHAR,DARBHANGA,155.25,465.0,21.861111111111114,259.44444444444446,32.0,0.0,2269.4166666666665,3202.972222222222,High,1
BIHAR,ECONOMIC OFFENCES UNIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0
BIHAR,GAYA,129.08333333333334,414.1666666666667,5.805555555555556,153.0277777777778,50.41666666666666,1.0,2458.75,3212.25,High,1
BIHAR,GOPALGANJ,45.91666666666666,273.5833333333333,5.722222222222221,132.13888888888889,32.55555555555556,0.0,970.4722222222224,1460.388888888889,Low,0
BIHAR,JAMUI,78.83333333333333,126.80555555555556,12.916666666666666,62.5,18.916666666666668,0.0,437.6388888888889,737.6111111111112,High,1
BIHAR,JEHANABAD,36.75,114.0,3.722222222222223,44.94444444444444,24.33333333333333,0.0,519.1944444444445,742.9444444444445,High,1
BIHAR,KATIHAR,247.41666666666663,325.25,3.972222222222222,67.66666666666667,17.75,0.6666666666666666,1159.1666666666667,1821.888888888889,Low,0
BIHAR,KHAGARIA,42.0,179.0,6.111111111111112,20.52777777777777,14.361111111111112,0.0,838.8333333333334,1100.8333333333333,High,1
BIHAR,KISHANGANJ,152.25,233.4722222222222,16.88888888888889,62.02777777777778,8.777777777777777,1.6666666666666667,595.1111111111111,1070.1944444444446,Low,0
BIHAR,LAKHISARAI,33.666666666666664,103.1388888888889,45.75,39.02777777777778,9.77777777777778,4.666666666666667,426.6944444444444,662.7222222222222,Low,0
BIHAR,MADHEPURA,44.833333333333336,165.63888888888889,7.777777777777778,43.16666666666666,11.833333333333334,0.0,906.1111111111112,1179.361111111111,High,1
BIHAR,MADHUBANI,118.16666666666669,361.27777777777777,26.666666666666668,176.66666666666666,29.722222222222225,1.0,1881.4722222222224,2594.972222222222,High,1
BIHAR,MOTIHARI,87.08333333333333,533.2222222222223,5.861111111111112,174.47222222222226,63.083333333333336,0.0,3466.0277777777774,4329.75,High,1
BIHAR,MUNGER,33.583333333333336,149.61111111111111,6.555555555555556,51.22222222222222,10.555555555555555,0.0,847.9722222222222,1099.5,High,1
BIHAR,MUZAFFARPUR,173.0,731.2222222222223,118.44444444444444,99.8611111111111,98.83333333333331,1.6666666666666667,1884.75,3107.7777777777774,High,1
BIHAR,NALANDA,70.16666666666667,332.80555555555554,19.694444444444446,174.44444444444443,67.05555555555556,0.0,2088.75,2752.9166666666665,High,1
BIHAR,NAUGACHIA,27.416666666666668,84.66666666666667,11.97222222222222,61.02777777777777,11.166666666666666,0.0,851.8888888888888,1048.138888888889,High,1
BIHAR,NAWADAH,64.91666666666667,165.41666666666666,10.638888888888888,76.1111111111111,21.75,0.0,1115.888888888889,1454.722222222222,High,1
BIHAR,PATNA,219.0,1150.6944444444446,33.63888888888889,410.1666666666667,87.77777777777777,0.0,6568.527777777777,8469.805555555557,High,1
BIHAR,PURNEA,194.58333333333331,283.88888888888886,27.194444444444443,59.5,19.666666666666668,0.6666666666666666,1936.4166666666667,2521.9166666666665,High,1
BIHAR,ROHTAS,103.41666666666669,315.77777777777777,9.944444444444445,83.61111111111111,47.333333333333336,0.0,1161.361111111111,1721.4444444444443,High,1
BIHAR,SAHARSA,44.41666666666666,193.91666666666663,9.277777777777777,56.63888888888889,13.444444444444445,0.0,1236.0,1553.6944444444446,High,1
BIHAR,SAMASTIPUR,118.16666666666669,398.8055555555556,6.138888888888888,116.80555555555554,37.47222222222222,0.0,2612.25,3289.6388888888887,High,1
BIHAR,SARAN,79.58333333333333,402.9444444444444,5.777777777777778,126.27777777777776,72.25,0.0,1649.888888888889,2336.722222222222,High,1
BIHAR,SHEIKHPURA,19.75,84.44444444444444,12.888888888888888,45.47222222222223,7.111111111111111,0.0,490.52777777777777,660.1944444444445,High,1
BIHAR,SHEOHAR,20.166666666666668,81.36111111111111,12.0,14.111111111111112,5.916666666666667,0.0,236.41666666666663,369.97222222222223,High,1
BIHAR,SITAMARHI,67.75,417.4166666666667,5.333333333333333,142.38888888888889,25.666666666666668,1.3333333333333333,1859.861111111111,2519.75,High,1
BIHAR,SIWAN,51.583333333333336,423.8055555555556,8.222222222222221,71.83333333333333,52.0,0.0,2258.1666666666665,2865.611111111111,High,1
BIHAR,SUPAUL,99.25,257.4166666666667,7.611111111111111,62.52777777777777,17.38888888888889,0.0,716.1111111111112,1160.3055555555554,High,1
BIHAR,VAISHALI,77.5,496.3611111111111,11.055555555555555,148.72222222222223,66.1388888888889,0.0,2344.138888888889,3143.9166666666665,High,1
CHANDIGARH,CHANDIGARH,129.41666666666666,397.38888888888886,115.05555555555554,100.08333333333331,2.1666666666666665,0.0,864.3611111111112,1608.4722222222224,Low,0
CHHATTISGARH,BALOD,76.0,48.333333333333336,81.33333333333333,14.333333333333334,3.6666666666666665,0.3333333333333333,787.3333333333334,1011.3333333333334,Low,0
CHHATTISGARH,BALODA BAZAR,150.0,235.5,104.0,34.0,2.0,0.0,630.0,1155.5,Low,0
CHHATTISGARH,BALODBAZAR,126.0,238.0,196.0,32.0,8.0,0.0,242.0,842.0,Low,0
CHHATTISGARH,BALRAMPUR,235.75,22.305555555555557,71.52777777777779,28.222222222222214,4.777777777777778,1.6666666666666667,414.13888888888886,778.388888888889,Low,0
CHHATTISGARH,BEMETARA,78.0,79.5,59.0,24.0,4.0,0.0,888.0,1132.5,Low,0
CHHATTISGARH,BEMETRA,123.0,53.0,112.0,19.0,3.0,0.0,1068.0,1378.0,Low,0
CHHATTISGARH,BILASPUR,254.41666666666663,470.2222222222222,301.5833333333333,104.41666666666669,14.5,0.0,1774.7777777777776,2919.9166666666665,High,1
CHHATTISGARH,BIZAPUR,17.25,24.916666666666668,4.527777777777778,1.5277777777777777,0.0277777777777777,0.0,94.52777777777776,142.77777777777777,Low,0
CHHATTISGARH,DANTEWARA,31.33333333333333,20.166666666666668,12.97222222222222,3.722222222222223,0.1944444444444444,1.0,196.52777777777771,265.9166666666667,High,1
CHHATTISGARH,DHAMTARI,94.16666666666669,54.13888888888889,72.86111111111111,12.333333333333334,1.5277777777777777,0.0,691.8333333333334,926.8611111111112,Low,0
CHHATTISGARH,DURG,308.1666666666667,268.1111111111111,330.75,147.75,11.111111111111112,1.0,3833.4166666666665,4900.305555555556,High,1
CHHATTISGARH,GARIYABAND,94.33333333333331,38.833333333333336,39.333333333333336,11.0,2.0,0.0,366.5,552.0,Low,0
CHHATTISGARH,JAGDALPUR,146.91666666666666,73.58333333333333,53.36111111111112,17.833333333333332,1.5,0.0,651.5555555555555,944.75,High,1
CHHATTISGARH,JANJGIR CHAMPA,158.5,289.22222222222223,183.8888888888889,107.27777777777776,14.02777777777778,0.6666666666666666,1033.4444444444446,1787.0277777777776,Low,0
CHHATTISGARH,JASHPUR,233.41666666666663,116.88888888888889,64.72222222222221,17.166666666666668,1.4444444444444444,6.0,418.4444444444444,858.0833333333334,Low,0
CHHATTISGARH,KABIRDHAM,93.6969696969697,92.8181818181818,100.96969696969695,16.090909090909093,3.6666666666666665,0.0,476.3636363636363,783.6060606060606,Low,0
CHHATTISGARH,KANKER,117.16666666666669,83.97222222222221,43.36111111111111,22.25,2.8611111111111107,0.0,605.5277777777778,875.1388888888888,Low,0
CHHATTISGARH,KAWARDHA,105.0,2.0,45.0,15.0,1.0,0.0,236.0,404.0,Low,0
CHHATTISGARH,KONDAGAON,51.0,43.0,16.333333333333332,5.333333333333333,0.3333333333333333,0.0,183.0,299.0,High,1
CHHATTISGARH,KORBA,161.75,101.33333333333331,105.22222222222224,51.75,5.138888888888889,1.0,841.1388888888888,1267.3333333333333,Low,0
CHHATTISGARH,KORIYA,174.83333333333334,131.83333333333334,107.02777777777776,51.083333333333336,2.388888888888889,0.0,407.0555555555555,874.2222222222222,Low,0
CHHATTISGARH,MAHASAMUND,122.91666666666669,177.02777777777774,122.25,32.69444444444444,7.333333333333333,0.0,1034.7222222222222,1496.9444444444446,Low,0
CHHATTISGARH,MUNGALI,30.0,72.0,91.0,14.0,6.0,0.0,511.0,724.0,Low,0
CHHATTISGARH,MUNGELI,43.5,111.0,34.0,24.5,3.0,0.0,639.0,855.0,Low,0
CHHATTISGARH,NARAYANPUR,19.5,11.666666666666666,5.933333333333334,1.2,0.0333333333333333,2.333333333333333,47.6,88.26666666666667,Low,0
CHHATTISGARH,RAIGARH,257.4166666666667,206.72222222222223,164.05555555555557,44.5,6.166666666666667,0.0,901.9444444444443,1580.8055555555557,Low,0
CHHATTISGARH,RAIPUR,412.0,608.9444444444445,314.6111111111111,127.94444444444444,9.666666666666666,0.0,2771.25,4244.416666666667,High,1
CHHATTISGARH,RAJNANDGAON,158.33333333333334,157.08333333333334,117.1388888888889,35.02777777777778,5.777777777777778,0.0,1669.2777777777776,2142.6388888888887,High,1
CHHATTISGARH,SARGUJA,260.8333333333333,62.0,128.61111111111111,32.19444444444445,1.75,0.0,897.4722222222223,1382.861111111111,Low,0
CHHATTISGARH,SUKMA,14.0,16.0,4.666666666666667,3.0,0.3333333333333333,0.0,83.66666666666667,121.66666666666669,Low,0
CHHATTISGARH,SURAJPUR,177.0,98.20833333333331,97.70833333333331,52.79166666666666,2.333333333333333,0.0,488.6666666666667,916.7083333333334,Low,0
D & N HAVELI,D AND N HAVELI,14.0,31.33333333333333,4.166666666666667,3.1666666666666665,0.0833333333333333,0.0,154.91666666666666,207.66666666666663,High,1
D&N HAVELI,D&N HAVELI,15.0,32.5,3.0,3.5,0.0,0.0,84.5,138.5,Low,0
DAMAN & DIU,DAMAN,10.416666666666666,15.694444444444445,2.4166666666666665,1.5,0.0555555555555555,0.0,37.80555555555555,67.88888888888889,Low,0
DAMAN & DIU,DIU,1.25,2.444444444444444,0.6666666666666666,0.4722222222222222,0.0277777777777777,0.0,10.22222222222222,15.083333333333334,Low,0
DELHI UT,CAW,0.3,0.0,0.8,179.9,0.0,0.0,0.1,181.1,Low,0
DELHI UT,CENTRAL,185.41666666666663,460.0833333333333,223.30555555555557,66.5,4.25,0.0,1507.9722222222224,2447.527777777778,High,1
DELHI UT,CRIME BRANCH,5.8,1.9333333333333331,0.6666666666666666,0.0,0.0,0.0,12.266666666666666,20.666666666666668,Low,0
DELHI UT,EAST,663.0,1591.5,685.0,361.5,13.0,0.0,3351.0,6665.0,High,1
DELHI UT,EAST DELHI,160.75,606.4166666666666,83.33333333333333,155.0,13.25,0.0,1826.6666666666667,2845.4166666666665,High,1
DELHI UT,I G I AIRPORT,0.75,7.25,3.5,0.25,0.0,0.0,77.5,89.25,Low,0
DELHI UT,NEW DELHI,46.0,112.19444444444444,72.72222222222223,13.277777777777777,1.1944444444444444,0.0,437.25,682.6388888888888,Low,0
DELHI UT,NORTH,171.0,613.0,271.0,112.0,7.5,0.0,1065.5,2240.0,High,1
DELHI UT,NORTH DELHI,65.0,264.25,28.83333333333333,65.41666666666667,5.416666666666667,0.0,1412.4166666666667,1841.3333333333333,High,1
DELHI UT,NORTH EAST,406.28125,1419.84375,371.625,267.25,23.4375,0.0,1906.625,4395.0625,High,1
DELHI UT,NORTH WEST,388.21875,1170.46875,334.46875,207.34375,18.0625,0.0,2403.5,4522.0625,High,1
DELHI UT,OUTER,508.3333333333333,1972.2222222222224,467.8333333333333,390.5,19.83333333333333,0.3333333333333333,2316.388888888889,5675.444444444445,High,1
DELHI UT,RAIL,0.0,20.0,16.0,2.0,1.0,0.0,21.0,60.0,Low,0
DELHI UT,S T F,0.75,0.0,0.25,0.0,0.0,0.0,10.0,11.0,Low,0
DELHI UT,SOUTH,669.5,1329.5,1197.0,130.0,8.0,0.5,2294.5,5629.0,High,1
DELHI UT,SOUTH DELHI,209.75,536.25,93.66666666666669,120.25,16.416666666666668,0.0,3145.1666666666665,4121.5,High,1
DELHI UT,SOUTH EAST,576.1999999999999,1374.6,518.2666666666667,211.33333333333331,18.4,0.0,2052.333333333333,4751.133333333333,High,1
DELHI UT,SOUTH WEST,650.0,1390.5,737.5,360.5,15.5,0.5,1686.5,4841.0,High,1
DELHI UT,SOUTH WEST DELHI,186.1875,486.5625,61.5,111.6875,17.125,0.0,2206.3125,3069.375,High,1
DELHI UT,SPL CELL,0.0,0.0,0.0,0.0,0.0,0.0,10.75,10.75,Low,0
DELHI UT,SPUWAC,0.0,0.0,0.0,160.0,0.0,0.0,0.0,160.0,Low,0
DELHI UT,STF,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,7.071428571428571,7.214285714285714,Low,0
